Vehicle Name,Small/Sporty/ Compact/Large Sedan,Sports Car,SUV,Wagon,Minivan,Pickup,AWD,RWD,Retail Price,Dealer Cost,Engine Size (l),Cyl,HP,City MPG,Hwy MPG,Weight,Wheel Base,Len,Width,AvgMPG
Lexus SC 430 convertible 2dr,0,1,0,0,0,0,0,1,63200,55063,3.2,6,215,18,23,3840,103,178,72,20.5
Lincoln Aviator Ultimate,0,0,1,0,0,0,0,0,42915,39443,3.2,6,215,13,18,4834,114,193,76,15.5
Lincoln LS V6 Luxury 4dr,1,0,0,0,0,0,0,1,32495,29969,3.2,6,215,20,26,3681,115,194,73,23
Lincoln LS V6 Premium 4dr,1,0,0,0,0,0,0,1,36895,33929,3.2,6,215,20,26,3681,115,194,73,23
Lincoln LS V8 Sport 4dr,1,0,0,0,0,0,0,1,40095,36809,3.2,6,215,17,24,3768,115,194,73,20.5
Lincoln LS V8 Ultimate 4dr,1,0,0,0,0,0,0,1,43495,39869,3.2,6,215,17,24,3768,115,194,73,20.5
Lincoln Navigator Luxury,0,0,1,0,0,0,1,0,52775,46360,3.2,6,215,13,18,5969,119,206,80,15.5
Lincoln Town Car Signature 4dr,1,0,0,0,0,0,0,1,41815,38418,3.2,6,215,17,25,4369,118,215,78,21
Lincoln Town Car Ultimate 4dr,1,0,0,0,0,0,0,1,44925,41217,3.2,6,215,17,25,4369,118,215,78,21
Lincoln Town Car Ultimate L 4dr,1,0,0,0,0,0,0,1,50470,46208,3.2,6,215,17,25,4474,124,221,78,21
Mazda B2300 SX Regular Cab,0,0,0,0,0,1,0,1,14840,14070,3.2,6,215,24,29,2960,112,0,0,26.5
Mazda B4000 SE Cab Plus,0,0,0,0,0,1,1,0,22350,20482,3.3,6,215,15,19,3571,126,0,0,17
Mazda MPV ES,0,0,0,0,1,0,0,0,28750,26600,3.3,6,217,18,25,3812,112,188,72,21.5
Mazda MX-5 Miata convertible 2dr,0,1,0,0,0,0,0,1,22388,20701,3.3,6,220,23,28,2387,89,156,66,25.5
Mazda MX-5 Miata LS convertible 2dr,0,1,0,0,0,0,0,1,25193,23285,3.3,6,220,23,28,2387,89,156,66,25.5
Mazda RX-8 4dr automatic,0,1,0,0,0,0,0,1,25700,23794,3.3,6,220,18,25,3053,106,174,0,21.5
Mazda RX-8 4dr manual,0,1,0,0,0,0,0,1,27200,25179,3.3,6,220,18,24,3029,106,174,0,21
Mazda Tribute DX 2.0,0,0,1,0,0,0,1,0,21087,19742,3.3,6,220,22,25,3091,103,173,72,23.5
Mazda3 i 4dr,1,0,0,0,0,0,0,0,15500,14525,3.3,6,220,0,0,2696,0,0,0,0
Mazda3 s 4dr,1,0,0,0,0,0,0,0,17200,15922,3.3,6,220,0,0,2762,0,0,0,0
Mazda6 i 4dr,1,0,0,0,0,0,0,0,19270,17817,3.3,6,220,24,32,3042,105,187,70,28
Mercedes-Benz C230 Sport 2dr,1,0,0,0,0,0,0,1,26060,24249,3.4,6,220,22,30,3250,107,178,68,26
Mercedes-Benz C240,0,0,0,1,0,0,0,1,33780,31466,3.4,6,220,19,25,3470,107,179,68,22
Mercedes-Benz C240 4dr,1,0,0,0,0,0,0,1,32280,30071,3.4,6,220,20,25,3360,107,178,68,22.5
Mercedes-Benz C240 4dr,1,0,0,0,0,0,1,0,33480,31187,3.4,6,220,19,25,3360,107,178,68,22
Mercedes-Benz C32 AMG 4dr,1,0,0,0,0,0,0,1,52120,48522,3.4,6,221,16,21,3540,107,178,68,18.5
Mercedes-Benz C320 4dr,1,0,0,0,0,0,0,1,37630,35046,3.4,6,221,20,26,3450,107,178,68,23
Mercedes-Benz C320 4dr,1,0,0,0,0,0,1,0,38830,36162,3.4,6,224,19,27,0,107,178,68,23
Mercedes-Benz C320 Sport 2dr,1,0,0,0,0,0,0,1,28370,26435,3.4,6,224,19,26,3430,107,178,68,22.5
Mercedes-Benz C320 Sport 4dr,1,0,0,0,0,0,0,1,35920,33456,3.4,6,224,19,26,3430,107,178,68,22.5
Mercedes-Benz CL500 2dr,1,0,0,0,0,0,0,1,94820,88324,3.4,6,224,16,24,4085,114,196,73,20
Mercedes-Benz CL600 2dr,1,0,0,0,0,0,0,1,128420,119600,3.4,6,224,13,19,4473,114,196,73,16
Mercedes-Benz CLK320 coupe 2dr (convertible),1,0,0,0,0,0,0,1,45707,41966,3.4,6,225,20,26,3770,107,183,69,23
Mercedes-Benz CLK500 coupe 2dr (convertible),1,0,0,0,0,0,0,1,52800,49104,3.5,6,225,17,22,3585,107,183,69,19.5
Mercedes-Benz E320,0,0,0,1,0,0,0,1,50670,47174,3.5,6,225,19,27,3966,112,190,71,23
Mercedes-Benz E320 4dr,1,0,0,0,0,0,0,1,48170,44849,3.5,6,225,19,27,3635,112,190,71,23
Mercedes-Benz E500,0,0,0,1,0,0,1,0,60670,56474,3.5,6,225,16,24,4230,112,190,71,20
Mercedes-Benz E500 4dr,1,0,0,0,0,0,0,1,57270,53382,3.5,6,225,16,20,3815,112,190,71,18
Mercedes-Benz G500,0,0,1,0,0,0,1,0,76870,71540,3.5,6,225,13,14,5423,112,186,71,13.5
Mercedes-Benz ML500,0,0,1,0,0,0,1,0,46470,43268,3.5,6,225,14,17,4874,111,183,72,15.5
Mercedes-Benz S430 4dr,1,0,0,0,0,0,0,1,74320,69168,3.5,6,225,18,26,4160,122,203,73,22
Mercedes-Benz S500 4dr,1,0,0,0,0,0,1,0,86970,80939,3.5,6,225,16,24,4390,122,203,73,20
Mercedes-Benz SL500 convertible 2dr,0,1,0,0,0,0,0,1,90520,84325,3.5,6,225,16,23,4065,101,179,72,19.5
Mercedes-Benz SL55 AMG 2dr,0,1,0,0,0,0,0,1,121770,113388,3.5,6,225,14,21,4235,101,179,72,17.5
Mercedes-Benz SL600 convertible 2dr,0,1,0,0,0,0,0,1,126670,117854,3.5,6,225,13,19,4429,101,179,72,16
Mercedes-Benz SLK230 convertible 2dr,0,1,0,0,0,0,0,1,40320,37548,3.5,6,227,21,29,3055,95,158,68,25
Mercedes-Benz SLK32 AMG 2dr,0,1,0,0,0,0,0,1,56170,52289,3.5,6,227,17,22,3220,95,158,68,19.5
Mercury Grand Marquis GS 4dr,1,0,0,0,0,0,0,1,24695,23217,3.5,6,228,17,25,4052,115,212,78,21
Mercury Grand Marquis LS Premium 4dr,1,0,0,0,0,0,0,1,29595,27148,3.5,6,230,17,25,4052,115,212,78,21
Mercury Grand Marquis LS Ultimate 4dr,1,0,0,0,0,0,0,1,30895,28318,3.5,6,230,17,25,4052,115,212,78,21
Mercury Marauder 4dr,1,0,0,0,0,0,0,1,34495,31558,3.5,6,230,17,23,4195,115,212,78,20
Mercury Monterey Luxury,0,0,0,0,1,0,0,0,33995,30846,3.5,6,230,16,23,4340,121,202,77,19.5
Mercury Mountaineer,0,0,1,0,0,0,0,0,29995,27317,3.5,6,230,16,21,4374,114,190,72,18.5
Mercury Sable GS,0,0,0,1,0,0,0,0,22595,20748,3.5,6,230,19,26,3488,109,198,73,22.5
Mercury Sable GS 4dr,1,0,0,0,0,0,0,0,21595,19848,3.5,6,231,20,27,3308,109,200,73,23.5
Mercury Sable LS Premium 4dr,1,0,0,0,0,0,0,0,23895,21918,3.5,6,232,19,26,3315,109,200,73,22.5
Mini Cooper,1,0,0,0,0,0,0,0,16999,15437,3.5,6,232,28,37,2524,97,143,67,32.5
Mini Cooper S,1,0,0,0,0,0,0,0,19999,18137,3.5,6,232,25,34,2678,97,144,67,29.5
Mitsubishi Diamante LS 4dr,1,0,0,0,0,0,0,0,29282,27250,3.5,6,232,18,25,3549,107,194,70,21.5
Mitsubishi Eclipse GTS 2dr,0,1,0,0,0,0,0,0,25092,23456,3.5,6,232,21,28,3241,101,177,69,24.5
Mitsubishi Eclipse Spyder GT convertible 2dr,0,1,0,0,0,0,0,0,26992,25218,3.5,6,235,21,28,3296,101,177,69,24.5
Mitsubishi Endeavor XLS,0,0,1,0,0,0,1,0,30492,28330,3.5,6,235,17,21,4134,109,190,74,19
Mitsubishi Galant ES 2.4L 4dr,1,0,0,0,0,0,0,0,19312,17957,3.5,6,235,0,0,3351,108,191,72,0
Mitsubishi Galant GTS 4dr,1,0,0,0,0,0,0,0,25700,23883,3.5,6,238,18,26,3649,108,191,72,22
Mitsubishi Lancer ES 4dr,1,0,0,0,0,0,0,0,14622,13751,3.5,6,239,0,0,2656,102,181,67,0
Mitsubishi Lancer Evolution 4dr,0,1,0,0,0,0,0,0,29562,27466,3.5,6,239,18,26,3263,103,179,70,22
Mitsubishi Lancer LS 4dr,1,0,0,0,0,0,0,0,16722,15718,3.5,6,239,0,0,2795,102,181,67,0
Mitsubishi Lancer OZ Rally 4dr auto,1,0,0,0,0,0,0,0,17232,16196,3.6,6,239,0,0,2744,102,181,67,0
Mitsubishi Lancer Sportback LS,0,0,0,1,0,0,0,0,17495,16295,3.6,6,240,0,0,3020,102,181,67,0
Mitsubishi Montero XLS,0,0,1,0,0,0,1,0,33112,30763,3.6,6,240,15,19,4718,110,190,75,17
Mitsubishi Outlander LS,0,0,1,0,0,0,0,0,18892,17569,3.6,6,240,21,27,3240,103,179,69,24
Nissan 350Z coupe 2dr,0,1,0,0,0,0,0,1,26910,25203,3.6,6,240,20,26,3188,104,169,72,23
Nissan 350Z Enthusiast convertible 2dr,0,1,0,0,0,0,0,1,34390,31845,3.7,6,240,20,26,3428,104,169,72,23
Nissan Altima S 4dr,1,0,0,0,0,0,0,0,19240,18030,3.7,6,240,21,26,3039,110,192,70,23.5
Nissan Altima SE 4dr,1,0,0,0,0,0,0,0,23290,21580,3.7,6,240,21,26,3197,110,192,70,23.5
Nissan Frontier King Cab XE V6,0,0,0,0,0,1,1,0,19479,18253,3.8,6,240,17,20,3932,116,0,0,18.5
Nissan Maxima SE 4dr,1,0,0,0,0,0,0,0,27490,25182,3.8,6,240,20,28,3473,111,194,72,24
Nissan Maxima SL 4dr,1,0,0,0,0,0,0,0,29440,26966,3.8,6,240,20,28,3476,111,194,72,24
Nissan Murano SL,0,0,0,1,0,0,0,1,28739,27300,3.8,6,240,20,25,3801,111,188,74,22.5
Nissan Pathfinder Armada SE,0,0,1,0,0,0,0,0,33840,30815,3.8,6,240,13,19,5013,123,207,79,16
Nissan Pathfinder SE,0,0,1,0,0,0,0,0,27339,25972,3.8,6,240,16,21,3871,106,183,72,18.5
Nissan Quest S,0,0,0,0,1,0,0,0,24780,22958,3.8,6,242,19,26,4012,124,204,78,22.5
Nissan Quest SE,0,0,0,0,1,0,0,0,32780,30019,3.8,6,245,18,25,4175,124,204,78,21.5
Nissan Sentra 1.8 4dr,1,0,0,0,0,0,0,0,12740,12205,3.8,6,245,28,35,2513,100,178,67,31.5
Nissan Sentra 1.8 S 4dr,1,0,0,0,0,0,0,0,14740,13747,3.8,6,245,28,35,2581,100,178,67,31.5
Nissan Sentra SE-R 4dr,1,0,0,0,0,0,0,0,17640,16444,3.8,6,247,23,28,2761,100,178,67,25.5
Nissan Titan King Cab XE,0,0,0,0,0,1,1,0,26650,24926,3.8,6,250,14,18,5287,140,0,0,16
Nissan Xterra XE V6,0,0,1,0,0,0,0,0,20939,19512,3.8,6,250,17,20,3760,104,178,70,18.5
Oldsmobile Alero GLS 2dr,1,0,0,0,0,0,0,0,23675,21485,3.8,6,250,20,29,3085,107,187,70,24.5
Oldsmobile Alero GX 2dr,1,0,0,0,0,0,0,0,18825,17642,3.8,6,250,24,32,2946,107,187,70,28
Oldsmobile Silhouette GL,0,0,0,0,1,0,0,0,28790,26120,3.8,6,250,19,26,3948,120,201,72,22.5
Pontiac Aztekt,0,0,1,0,0,0,0,0,21595,19810,3.8,6,250,19,26,3779,108,182,74,22.5
Pontiac Bonneville GXP 4dr,1,0,0,0,0,0,0,0,35995,32997,3.9,6,255,0,0,3790,112,203,74,0
Pontiac Grand Am GT 2dr,1,0,0,0,0,0,0,0,22450,20595,3.9,6,255,20,29,3118,107,186,70,24.5
Pontiac Grand Prix GT1 4dr,1,0,0,0,0,0,0,0,22395,20545,3.9,6,255,20,30,3477,111,198,74,25
Pontiac Grand Prix GT2 4dr,1,0,0,0,0,0,0,0,24295,22284,3.9,6,258,20,30,3484,111,198,74,25
Pontiac GTO 2dr,0,1,0,0,0,0,0,1,33500,30710,4,6,260,0,0,3725,110,190,73,0
Pontiac Montana,0,0,0,0,1,0,0,0,23845,21644,4,6,260,19,26,3803,112,187,72,22.5
Pontiac Montana EWB,0,0,0,0,1,0,1,0,31370,28454,4,6,260,18,24,4431,121,201,72,21
Pontiac Sunfire 1SA 2dr,1,0,0,0,0,0,0,0,15495,14375,4,6,265,24,33,2771,104,182,68,28.5
Pontiac Sunfire 1SC 2dr,1,0,0,0,0,0,0,0,17735,16369,4,6,265,24,33,2771,104,182,68,28.5
Pontiac Vibe,0,0,0,1,0,0,0,1,17045,15973,4,6,265,29,36,2701,102,172,70,32.5
Porsche 911 Carrera 4S coupe 2dr (convert),0,1,0,0,0,0,1,0,84165,72206,4,6,268,17,24,3240,93,175,72,20.5
Porsche 911 Carrera convertible 2dr (coupe),0,1,0,0,0,0,0,1,79165,69229,4,6,268,18,26,3135,93,175,70,22
Porsche 911 GT2 2dr,0,1,0,0,0,0,0,1,192465,173560,4.2,6,270,17,24,3131,93,175,72,20.5
Porsche 911 Targa coupe 2dr,0,1,0,0,0,0,0,1,76765,67128,4.2,6,270,18,26,3119,93,175,70,22
Porsche Boxster convertible 2dr,0,1,0,0,0,0,0,1,43365,37886,4.2,6,270,20,29,2811,95,170,70,24.5
Porsche Boxster S convertible 2dr,0,1,0,0,0,0,0,1,52365,45766,4.2,6,271,18,26,2911,95,170,70,22
Porsche Cayenne S,0,0,1,0,0,0,1,0,56665,49865,4.2,8,275,14,18,4950,112,188,76,16
Saab 9-3 Aero 4dr,1,0,0,0,0,0,0,0,33360,31562,4.2,8,275,20,28,3175,105,183,69,24
Saab 9-3 Aero convertible 2dr,1,0,0,0,0,0,0,0,43175,40883,4.2,8,275,21,30,3700,105,182,69,25.5
Saab 9-3 Arc convertible 2dr,1,0,0,0,0,0,0,0,40670,38520,4.2,8,275,21,29,3480,105,182,69,25
Saab 9-3 Arc Sport 4dr,1,0,0,0,0,0,0,0,30860,29269,4.2,8,275,20,28,3175,105,183,69,24
Saab 9-5 Aero,0,0,0,1,0,0,0,0,40845,38376,4.2,8,275,19,29,3620,106,190,71,24
Saab 9-5 Aero 4dr,1,0,0,0,0,0,0,0,39465,37721,4.2,8,275,21,29,3470,106,190,71,25
Saab 9-5 Arc 4dr,1,0,0,0,0,0,0,0,35105,33011,4.2,8,275,21,29,3470,106,190,71,25
Saturn Ion1 4dr,1,0,0,0,0,0,0,0,10995,10319,4.2,8,280,26,35,2692,103,185,67,30.5
Saturn L300 2,0,0,0,1,0,0,0,0,23560,21779,4.2,8,280,24,34,3109,107,190,69,29
Saturn L300-2 4dr,1,0,0,0,0,0,0,0,21410,19801,4.2,8,280,20,28,3197,107,190,69,24
Saturn lon2 4dr,1,0,0,0,0,0,0,0,14300,13393,4.2,8,280,26,35,2692,103,185,67,30.5
Saturn lon2 quad coupe 2dr,1,0,0,0,0,0,0,0,14850,13904,4.2,8,280,26,35,2751,103,185,68,30.5
Saturn lon3 4dr,1,0,0,0,0,0,0,0,15825,14811,4.2,8,282,26,35,2692,103,185,67,30.5
Saturn lon3 quad coupe 2dr,1,0,0,0,0,0,0,0,16350,15299,4.2,8,285,26,35,2751,103,185,68,30.5
Saturn VUE,0,0,1,0,0,0,1,0,20585,19238,4.2,8,285,21,26,3381,107,181,72,23.5
Scion xA 4dr hatch,1,0,0,0,0,0,0,0,12965,12340,4.3,8,287,32,38,2340,93,154,67,35
Scion xB,0,0,0,1,0,0,0,0,14165,13480,4.3,8,287,31,35,2425,98,155,67,33
Subaru Baja,0,0,0,0,0,1,1,0,24520,22304,4.3,8,288,21,28,3485,104,0,0,24.5
Subaru Forester X,0,0,0,1,0,0,1,0,21445,19646,4.3,8,290,21,28,3090,99,175,68,24.5
Subaru Impreza 2.5 RS 4dr,1,0,0,0,0,0,1,0,19945,18399,4.3,8,290,22,28,2965,99,174,69,25
Subaru Impreza WRX 4dr,0,1,0,0,0,0,1,0,25045,23022,4.3,8,292,20,27,3085,99,174,69,23.5
Subaru Impreza WRX STi 4dr,0,1,0,0,0,0,1,0,31545,29130,4.3,8,294,18,24,3263,100,174,69,21
Subaru Legacy GT 4dr,1,0,0,0,0,0,1,0,25645,23336,4.3,8,294,21,28,3395,104,184,69,24.5
Subaru Legacy L 4dr,1,0,0,0,0,0,1,0,20445,18713,4.4,8,294,21,28,3285,104,184,69,24.5
Subaru Outback,0,0,0,1,0,0,1,0,23895,21773,4.4,8,294,21,28,3430,104,187,69,24.5
Subaru Outback H6 4dr,1,0,0,0,0,0,1,0,29345,26660,4.4,8,294,19,26,3610,104,184,69,22.5
Subaru Outback H-6 VDC 4dr,1,0,0,0,0,0,1,0,31545,28603,4.4,8,295,19,26,3630,104,184,69,22.5
Subaru Outback Limited Sedan 4dr,1,0,0,0,0,0,1,0,27145,24687,4.4,8,295,20,27,3495,104,184,69,23.5
Suzuki Aeno S 4dr,1,0,0,0,0,0,0,0,12884,12719,4.5,8,295,25,31,2676,98,171,68,28
Suzuki Aerio LX 4dr,1,0,0,0,0,0,0,0,14500,14317,4.5,8,295,25,31,2676,98,171,68,28
Suzuki Aerio SX,0,0,0,1,0,0,1,0,16497,16291,4.5,8,300,24,29,2932,98,167,68,26.5
Suzuki Forenza EX 4dr,1,0,0,0,0,0,0,0,15568,15378,4.5,8,300,22,30,2756,102,177,68,26
Suzuki Forenza S 4dr,1,0,0,0,0,0,0,0,12269,12116,4.6,8,300,24,31,2701,102,177,68,27.5
Suzuki Verona LX 4dr,1,0,0,0,0,0,0,0,17262,17053,4.6,8,300,20,27,3380,106,188,72,23.5
Suzuki Vitara LX,0,0,1,0,0,0,1,0,17163,16949,4.6,8,300,19,22,3020,98,163,67,20.5
Suzuki XL-7 EX,0,0,1,0,0,0,0,0,23699,22307,4.6,8,300,18,22,3682,110,187,70,20
Toyota 4Runner SR5 V6,0,0,1,0,0,0,0,0,27710,24801,4.6,8,300,18,21,4035,110,189,74,19.5
Toyota Avalon XL 4dr,1,0,0,0,0,0,0,0,26560,23693,4.6,8,300,21,29,3417,107,192,72,25
Toyota Avalon XLS 4dr,1,0,0,0,0,0,0,0,30920,27271,4.6,8,300,21,29,3439,107,192,72,25
Toyota Camry LE 4dr,1,0,0,0,0,0,0,0,19560,17558,4.6,8,300,24,33,3086,107,189,71,28.5
Toyota Camry LE V6 4dr,1,0,0,0,0,0,0,0,22775,20325,4.6,8,300,21,29,3296,107,189,71,25
Toyota Camry Solara SE 2dr,1,0,0,0,0,0,0,0,19635,17722,4.6,8,302,24,33,3175,107,193,72,28.5
Toyota Camry Solara SE V6 2dr,1,0,0,0,0,0,0,0,21965,19819,4.6,8,302,20,29,3417,107,193,72,24.5
Toyota Camry Solara SLE V6 2dr,1,0,0,0,0,0,0,0,26510,23908,4.6,8,302,20,29,3439,107,193,72,24.5
Toyota Camry XLE V6 4dr,1,0,0,0,0,0,0,0,25920,23125,4.6,8,302,21,29,3362,107,189,71,25
Toyota Celica GT-S 2dr,0,1,0,0,0,0,0,0,22570,20363,4.6,8,302,24,33,2500,102,171,68,28.5
Toyota Corolla CE 4dr,1,0,0,0,0,0,0,0,14085,13065,4.6,8,302,32,40,2502,102,178,67,36
Toyota Corolla LE 4dr,1,0,0,0,0,0,0,0,15295,13889,4.6,8,302,32,40,2524,102,178,67,36
Toyota Corolla S 4dr,1,0,0,0,0,0,0,0,15030,13650,4.6,8,302,32,40,2524,102,178,67,36
Toyota Echo 2dr auto,1,0,0,0,0,0,0,0,11560,10896,4.6,8,305,33,39,2085,93,163,65,36
Toyota Echo 2dr manual,1,0,0,0,0,0,0,0,10760,10144,4.6,8,305,35,43,2035,93,163,65,39
Toyota Echo 4dr,1,0,0,0,0,0,0,0,11290,10642,4.6,8,310,35,43,2055,93,163,65,39
Toyota Highlander V6,0,0,1,0,0,0,1,0,27930,24915,4.6,8,315,18,24,3935,107,185,72,21
Toyota Land Cruiser,0,0,1,0,0,0,1,0,54765,47986,4.7,8,315,13,17,5390,112,193,76,15
Toyota Matrix XR,0,0,0,1,0,0,0,0,16695,15156,4.7,8,315,29,36,2679,102,171,70,32.5
Toyota MR2 Spyder convertible 2dr,0,1,0,0,0,0,0,1,25130,22787,4.7,8,315,26,32,2195,97,153,67,29
Toyota Prius 4dr (gas/electric),1,0,0,0,0,0,0,0,20510,18926,4.7,8,316,59,51,2890,106,175,68,55
Toyota RAV4,0,0,1,0,0,0,1,0,20290,18553,4.7,8,320,22,27,3119,98,167,68,24.5
Toyota Sequoia SR5,0,0,1,0,0,0,1,0,35695,31827,4.8,8,320,14,17,5270,118,204,78,15.5
Toyota Sienna CE,0,0,0,0,1,0,0,0,23495,21198,4.8,8,325,19,27,4120,119,200,77,23
Toyota Sienna XLE Limited,0,0,0,0,1,0,0,0,28800,25690,5,8,325,19,27,4165,119,200,77,23
Toyota Tacoma,0,0,0,0,0,1,0,1,12800,11879,5,8,325,22,27,2750,103,0,0,24.5
Toyota Tundra Access Cab V6 SR5,0,0,0,0,0,1,1,0,25935,23520,5,8,325,14,17,4435,128,0,0,15.5
Toyota Tundra Regular Cab V6,0,0,0,0,0,1,0,1,16495,14978,5,8,325,16,20,3925,128,0,0,18
Volkswagen Golf GLS 4dr,1,0,0,0,0,0,0,0,18715,17478,5,8,325,24,31,2897,99,165,68,27.5
Volkswagen GTI 1.8T 2dr hatch,1,0,0,0,0,0,0,0,19825,18109,5,8,330,24,31,2934,99,168,68,27.5
Volkswagen Jetta GL,0,0,0,1,0,0,0,0,19005,17427,5,8,333,24,30,3034,99,174,68,27
Volkswagen Jetta GLI VR6 4dr,1,0,0,0,0,0,0,0,23785,21686,5,8,333,21,30,3179,99,172,68,25.5
Volkswagen Jetta GLS TDI 4dr,1,0,0,0,0,0,0,0,21055,19638,5.3,8,335,38,46,3003,99,172,68,42
Volkswagen New Beetle GLS 1.8T 2dr,1,0,0,0,0,0,0,0,21055,19638,5.3,8,340,24,31,2820,99,161,68,27.5
Volkswagen New Beetle GLS convertible 2dr,1,0,0,0,0,0,0,0,23215,21689,5.3,8,340,24,30,3082,99,161,68,27
Volkswagen Passat GLS 1.8T,0,0,0,1,0,0,0,0,24955,22801,5.3,8,340,22,31,3338,106,184,69,26.5
Volkswagen Passat GLS 4dr,1,0,0,0,0,0,0,0,23955,21898,5.3,8,340,22,31,3241,106,185,69,26.5
Volkswagen Passat GLX V6 4MOTION 4dr,1,0,0,0,0,0,0,0,33180,30583,5.4,8,340,19,26,3721,106,185,69,22.5
Volkswagen Passat W8,0,0,0,1,0,0,0,0,40235,36956,5.4,8,340,18,25,4067,106,184,69,21.5
Volkswagen Passat W8 4MOTION 4dr,1,0,0,0,0,0,0,0,39235,36052,5.5,8,345,18,25,3953,106,185,69,21.5
Volkswagen Phaeton 4dr,1,0,0,0,0,0,0,0,65000,59912,5.5,8,349,0,0,5194,118,204,75,0
Volkswagen Phaeton W12 4dr,1,0,0,0,0,0,0,0,75000,69130,5.5,8,349,0,0,5399,118,204,75,0
Volkswagen Touareg V6,0,0,1,0,0,0,1,0,35515,32243,5.6,8,350,15,20,5086,112,187,76,17.5
Volvo C70 HPT convertible 2dr,1,0,0,0,0,0,0,0,42565,40083,5.6,8,350,20,26,3450,105,186,72,23
Volvo C70 LPT convertible 2dr,1,0,0,0,0,0,0,0,40565,38203,5.7,8,390,21,28,3450,105,186,72,24.5
Volvo S40 4dr,1,0,0,0,0,0,0,0,25135,23701,5.7,8,390,22,29,2767,101,178,68,25.5
Volvo S60 2.5 4dr,1,0,0,0,0,0,1,0,31745,29916,5.7,8,390,20,27,3903,107,180,71,23.5
Volvo S60 R 4dr,1,0,0,0,0,0,1,0,37560,35382,6,8,390,18,25,3571,107,181,71,21.5
Volvo S60 T5 4dr,1,0,0,0,0,0,0,0,34845,32902,6,8,420,20,28,3766,107,180,71,24
Volvo S80 2.5T 4dr,1,0,0,0,0,0,1,0,37885,35688,6,8,450,20,27,3691,110,190,72,23.5
Volvo S80 2.9 4dr,1,0,0,0,0,0,0,0,37730,35542,6,10,477,20,28,3576,110,190,72,24
Volvo S80 T6 4dr,1,0,0,0,0,0,0,0,45210,42573,6,10,493,19,26,3653,110,190,72,22.5
Volvo V40,0,0,0,1,0,0,0,0,26135,24641,6,12,493,22,29,2822,101,180,68,25.5
Volvo XC70,0,0,0,1,0,0,1,0,35145,33112,6.8,12,493,20,27,3823,109,186,73,23.5
Volvo XC90 T6,0,0,1,0,0,0,1,0,41250,38851,8.3,12,500,15,20,4638,113,189,75,17.5
